cod_materia;nome_materia;cod_departamento;sigla_departamento;nome_departamento;creditos
132128;SEMINARIO DE ECONOMIA INTERNACIONAL                                   ;160;ECO         ;Departamento de Economia                          ;2
132136;SEMINARIO DE ECONOMIA MONETARIA                                       ;160;ECO         ;Departamento de Economia                          ;2
304298;Seminário de Economia Política                                        ;160;ECO         ;Departamento de Economia                          ;4
132209;SEMINARIO DE ECONOMIA REGIONAL                                        ;160;ECO         ;Departamento de Economia                          ;2
380172;Seminário de Elaboraçao de Dissertaçao                                ;159;CCA         ;Depto de Ciencias Contábeis e Atuariais           ;3
330591;Seminário de Elaboraçao de Dissertaçao 1                              ;267;PAC         ;Centro de Pesquisa Pós-Graduaçao sobre as Américas;2
330591;Seminário de Elaboraçao de Dissertaçao 1                              ;365;ELA         ;Departamento de Estudos Latino-Americanos;2
330604;Seminário de Elaboraçao de Dissertaçao 2                              ;267;PAC         ;Centro de Pesquisa Pós-Graduaçao sobre as Américas;2
330604;Seminário de Elaboraçao de Dissertaçao 2                              ;365;ELA         ;Departamento de Estudos Latino-Americanos;2
300764;Seminário de Elaboraçao de Projeto de Doutorado                       ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;4
320935;Seminário de Elaboraçao de Projeto de Mestrado                        ;213;CDS         ;Centro de Desenvolvimento Sustentável             ;4
330621;Seminário de Elaboraçao de Tese 1                                     ;267;PAC         ;Centro de Pesquisa Pós-Graduaçao sobre as Américas;2
330621;Seminário de Elaboraçao de Tese 1                                     ;365;ELA         ;Departamento de Estudos Latino-Americanos;2
330639;Seminário de Elaboraçao de Tese 2                                     ;267;PAC         ;Centro de Pesquisa Pós-Graduaçao sobre as Américas;2
330639;Seminário de Elaboraçao de Tese 2                                     ;365;ELA         ;Departamento de Estudos Latino-Americanos;2
313301;Seminário de Equaçoes Diferenciais Parciais                           ;106;MAT         ;Departamento de Matemática.                       ;1
311901;Seminário de Estado Sólido 1                                          ;31;IFD         ;Instituto de Física                               ;8
311723;Seminário de Estado Sólido 2                                          ;31;IFD         ;Instituto de Física                               ;2
311731;Seminário de Estado Sólido 3                                          ;31;IFD         ;Instituto de Física                               ;3
311740;Seminário de Estado Sólido 4                                          ;31;IFD         ;Instituto de Física                               ;4
311944;Seminário de Estado Sólido 5                                          ;31;IFD         ;Instituto de Física                               ;8
311952;Seminário de Estado Sólido 6                                          ;31;IFD         ;Instituto de Física                               ;8
175161;SEMINARIO DE ESTAGIO SUPERVISIONADO EM EDUCACAO FISICA 1              ;29;FEF         ;Faculdade de Educaçao Física                      ;2
175226;SEMINARIO DE ESTAGIO SUPERVISIONADO EM EDUCACAO FISICA 2              ;29;FEF         ;Faculdade de Educaçao Física                      ;2
347477;Seminário de Filosofia 1                                              ;117;FIL         ;Departamento de Filosofia                         ;4
347485;Seminário de Filosofia 2                                              ;117;FIL         ;Departamento de Filosofia                         ;4
347493;Seminário de Filosofia 3                                              ;117;FIL         ;Departamento de Filosofia                         ;4
311847;Seminário de Física de Plasma 2                                       ;31;IFD         ;Instituto de Física                               ;2
311855;Seminário de Física de Plasma 3                                       ;31;IFD         ;Instituto de Física                               ;3
311863;Seminário de Física de Plasma 4                                       ;31;IFD         ;Instituto de Física                               ;4
313505;Seminário de Física Matemática                                        ;106;MAT         ;Departamento de Matemática.                       ;1
311758;Seminário de Física Nuclear 2                                         ;31;IFD         ;Instituto de Física                               ;2
311766;Seminário de Física Nuclear 3                                         ;31;IFD         ;Instituto de Física                               ;3
311774;Seminário de Física Nuclear 4                                         ;31;IFD         ;Instituto de Física                               ;4
313874;Seminário de Geometria Diferencial                                    ;106;MAT         ;Departamento de Matemática.                       ;1
111601;SEMINARIO DE GRADUACAO                                                ;31;IFD         ;Instituto de Física                               ;4
118737;Seminário de Graduaçao 1                                              ;31;IFD         ;Instituto de Física                               ;2
118745;Seminário de Graduaçao 2                                              ;31;IFD         ;Instituto de Física                               ;2
119440;Seminário de Graduaçao em Química                                     ;85;IQD         ;Instituto de Química                              ;2
335771;Seminário de Leitura 1                                                ;266;DAN         ;Departamento de Antropologia                      ;2
335746;Seminário de Leitura 2                                                ;266;DAN         ;Departamento de Antropologia                      ;2
335754;Seminário de Leitura 3                                                ;266;DAN         ;Departamento de Antropologia                      ;2
335762;Seminário de Leitura 4                                                ;266;DAN         ;Departamento de Antropologia                      ;2
341541;Seminário de Literatura Brasileira                                    ;125;TEL         ;Departamento de Teoria Literária e Literatura     ;2
313777;Seminário de Lógica                                                   ;106;MAT         ;Departamento de Matemática.                       ;1
313696;Seminário de Matemática Aplicada                                      ;106;MAT         ;Departamento de Matemática.                       ;1
313947;Seminário de Mecânica                                                 ;106;MAT         ;Departamento de Matemática.                       ;1
365246;Seminário de Mestrado                                                 ;137;ENC         ;Departamento de Engenharia Civil e Ambiental      ;0
318884;Seminário de Metafísica da Arte                                       ;16;IH          ;Instituto de Ciencias Humanas                     ;4
318931;Seminário de Metafísica e Artes na Antiguidade                        ;16;IH          ;Instituto de Ciencias Humanas                     ;4
318825;Seminário de Metafísica e Política na Antiguidade                     ;16;IH          ;Instituto de Ciencias Humanas                     ;4
318892;Seminário de Metafísica e Psicologia do Conhecimento                  ;16;IH          ;Instituto de Ciencias Humanas                     ;4
318906;Seminário de Metafísica; Vida e Conhecimento                          ;16;IH          ;Instituto de Ciencias Humanas                     ;4
318914;Seminário de Ontologia; Biopolítica e Bioética                        ;16;IH          ;Instituto de Ciencias Humanas                     ;4
318795;Seminário de Orientaçao                                               ;16;IH          ;Instituto de Ciencias Humanas                     ;2
313858;Seminário de Otimizaçao                                               ;106;MAT         ;Departamento de Matemática.                       ;1
311693;Seminário de Partículas Elementares 2                                 ;31;IFD         ;Instituto de Física                               ;2
311707;Seminário de Partículas Elementares 3                                 ;31;IFD         ;Instituto de Física                               ;3
