id_objeto,id_sujeito,id_termo,id_objeto_tipo,desc_objeto,id_coluna
48634,39512,4,2,"Departamento de Engenharia de Produçao",21
48635,39513,14,1,"Seminário em Engenharia de Produçao",17
48636,39513,28,1,4,18
48637,39513,4,2,"Departamento de Engenharia de Produçao",21
48638,39514,14,1,"Sistemas de Suporte r Decisao",17
48639,39514,28,1,4,18
48640,39514,4,2,"Departamento de Engenharia de Produçao",21
48641,39515,14,1,"Farmacologia 3",17
48642,39515,28,1,4,18
48643,39515,4,2,"Faculdade de Ciencias da Saúde",21
48644,39516,14,1,"Vigilância Sanitária de Medicamentos",17
48645,39516,28,1,2,18
48646,39516,4,2,"Faculdade de Ciencias da Saúde",21
48647,39517,14,1,"Tópicos Especiais em Gestao da Produçao",17
48648,39517,28,1,4,18
48649,39517,4,2,"Departamento de Engenharia de Produçao",21
48650,39518,14,1,"Tópicos Especiais em Gestao da Inovaçao",17
48651,39518,28,1,4,18
48652,39518,4,2,"Departamento de Engenharia de Produçao",21
48653,39519,14,1,"Tópicos Especiais em Engenharia do Trabalho e Ergonomia",17
48654,39519,28,1,4,18
48655,39519,4,2,"Departamento de Engenharia de Produçao",21
48656,39520,14,1,"Tópicos Especiais em Engenharia do Produto",17
48657,39520,28,1,4,18
48658,39520,4,2,"Departamento de Engenharia de Produçao",21
48659,39521,14,1,"Tópicos Especiais em Pesquisa Operacional",17
48660,39521,28,1,4,18
48661,39521,4,2,"Departamento de Engenharia de Produçao",21
48662,39522,14,1,"Tópicos Especiais em Pesquisa Organizacional",17
48663,39522,28,1,4,18
48664,39522,4,2,"Departamento de Engenharia de Produçao",21
48665,39523,14,1,"Tópicos Especiais em Logística",17
48666,39523,28,1,4,18
48667,39523,4,2,"Departamento de Engenharia de Produçao",21
48668,39524,14,1,"Arranjo 1",17
48669,39524,28,1,2,18
48670,39524,4,2,"Departamento de Música",21
48671,39525,14,1,"Harmonia na Música Popular 1",17
48672,39525,28,1,2,18
48673,39525,4,2,"Departamento de Música",21
48674,39526,14,1,"Harmonia na Música Popular 2",17
48675,39526,28,1,2,18
48676,39526,4,2,"Departamento de Música",21
48677,39527,14,1,"Improvisaçao 1",17
48678,39527,28,1,2,18
48679,39527,4,2,"Departamento de Música",21
48680,39528,14,1,"História da Música Brasileira 2",17
48681,39528,28,1,2,18
48682,39528,4,2,"Departamento de Música",21
48683,39529,14,1,"História da Música Popular do Brasil 1",17
48684,39529,28,1,2,18
48685,39529,4,2,"Departamento de Música",21
48686,39530,14,1,"História da Música Popular do Brasil 2",17
48687,39530,28,1,2,18
48688,39530,4,2,"Departamento de Música",21
48689,39531,14,1,"Música de Tradiçao Oral Performática",17
48690,39531,28,1,2,18
48691,39531,4,2,"Departamento de Música",21
48692,39532,14,1,"Estágio Supervisionado 1",17
48693,39532,28,1,8,18
48694,39532,4,2,"Faculdade de Ciencias da Saúde",21
48695,39533,14,1,"Harmonia e Improvisaçao na Música Popular 2",17
48696,39533,28,1,0,18
48697,39533,4,2,"Departamento de Música",21
48698,39534,14,1,"Harmonia e Improvisaçao na Música Popular 3",17
48699,39534,28,1,0,18
48700,39534,4,2,"Departamento de Música",21
48701,39535,14,1,"Instrumento Principal Piano Popular 1",17
48702,39535,28,1,2,18
48703,39535,4,2,"Departamento de Música",21
48704,39536,14,1,"Instrumento Principal Piano Popular 2",17
48705,39536,28,1,2,18
48706,39536,4,2,"Departamento de Música",21
48707,39537,14,1,"Instrumento Principal Piano Popular 3",17
48708,39537,28,1,2,18
48709,39537,4,2,"Departamento de Música",21
48710,39538,14,1,"Instrumento Principal Piano Popular 4",17
48711,39538,28,1,2,18
48712,39538,4,2,"Departamento de Música",21
