nome_departamento;sigla_departamento;cod_faculdade;cod_materia;periodo_disciplina;prioridade;cod_fluxo
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142981;3;13;1465142981
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142891;3;14;1465142891
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142344;3;15;1465142344
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;203670;3;16;1465203670
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;145921;4;17;1465145921
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142956;4;18;1465142956
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142905;4;19;1465142905
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142352;4;20;1465142352
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;206067;4;21;1465206067
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;207543;5;22;1465207543
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;140783;5;23;1465140783
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142361;5;24;1465142361
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;145904;5;25;1465145904
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;185035;5;26;1465185035
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;134465;5;27;1465134465
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;140805;6;28;1465140805
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;140937;6;29;1465140937
Departamento de Línguas Estrangeiras e Traduçăo   ;LET         ;1465;142379;6;30;1465142379
